tau=0.5
t=0 	x=0 	x_E=2.84217e-14 	Err=0
t=0.5 	x=0 	x_E=0.501004 	Err=0.00100402
t=1 	x=0 	x_E=1.00403 	Err=0.00202429
t=1.5 	x=0 	x_E=1.50911 	Err=0.0030612
t=2 	x=0 	x_E=2.01626 	Err=0.00411512
t=2.5 	x=0 	x_E=2.52551 	Err=0.00518648
t=3 	x=0 	x_E=3.03689 	Err=0.00627569
t=3.5 	x=0 	x_E=3.55042 	Err=0.00738318
t=4 	x=0 	x_E=4.06613 	Err=0.0085094
t=4.5 	x=0 	x_E=4.58405 	Err=0.00965481
t=5 	x=0 	x_E=5.10421 	Err=0.0108199
t=5.5 	x=0 	x_E=5.62664 	Err=0.0120051
t=6 	x=0 	x_E=6.15136 	Err=0.013211
t=6.5 	x=0 	x_E=6.6784 	Err=0.0144381
t=7 	x=0 	x_E=7.20781 	Err=0.0156869
t=7.5 	x=0 	x_E=7.73961 	Err=0.016958
t=8 	x=0 	x_E=8.27382 	Err=0.0182519
t=8.5 	x=0 	x_E=8.8105 	Err=0.0195694
t=9 	x=0 	x_E=9.34966 	Err=0.0209109
t=9.5 	x=0 	x_E=9.89136 	Err=0.0222772
t=10 	x=0 	x_E=10.4356 	Err=0.023669
t=10.5 	x=0 	x_E=10.9825 	Err=0.0250868
t=11 	x=0 	x_E=11.5319 	Err=0.0265314
t=11.5 	x=0 	x_E=12.0841 	Err=0.0280037
t=12 	x=0 	x_E=12.639 	Err=0.0295042
t=12.5 	x=0 	x_E=13.1966 	Err=0.031034
t=13 	x=0 	x_E=13.757 	Err=0.0325937
t=13.5 	x=0 	x_E=14.3203 	Err=0.0341842
t=14 	x=0 	x_E=14.8864 	Err=0.0358065
t=14.5 	x=0 	x_E=15.4555 	Err=0.0374615
t=15 	x=0 	x_E=16.0275 	Err=0.0391501
t=15.5 	x=0 	x_E=16.6026 	Err=0.0408734
t=16 	x=0 	x_E=17.1807 	Err=0.0426324
t=16.5 	x=0 	x_E=17.7619 	Err=0.0444282
t=17 	x=0 	x_E=18.3464 	Err=0.046262
t=17.5 	x=0 	x_E=18.934 	Err=0.0481349
t=18 	x=0 	x_E=19.5249 	Err=0.0500481
t=18.5 	x=0 	x_E=20.1191 	Err=0.0520031
t=19 	x=0 	x_E=20.7167 	Err=0.054001
t=19.5 	x=0 	x_E=21.3178 	Err=0.0560434
t=20 	x=0 	x_E=21.9224 	Err=0.0581317
t=20.5 	x=0 	x_E=22.5305 	Err=0.0602673
t=21 	x=0 	x_E=23.1423 	Err=0.062452
t=21.5 	x=0 	x_E=23.7577 	Err=0.0646874
t=22 	x=0 	x_E=24.3769 	Err=0.0669753
t=22.5 	x=0 	x_E=25 	Err=0.0693174
t=23 	x=0 	x_E=25.627 	Err=0.0717158
t=23.5 	x=0 	x_E=26.2579 	Err=0.0741724
t=24 	x=0 	x_E=26.8929 	Err=0.0766893
t=24.5 	x=0 	x_E=27.5321 	Err=0.0792688
t=25 	x=0 	x_E=28.1754 	Err=0.0819132
t=25.5 	x=0 	x_E=28.8231 	Err=0.084625
t=26 	x=0 	x_E=29.4751 	Err=0.0874067
t=26.5 	x=0 	x_E=30.1317 	Err=0.090261
t=27 	x=0 	x_E=30.7928 	Err=0.0931907
t=27.5 	x=0 	x_E=31.4586 	Err=0.096199
t=28 	x=0 	x_E=32.1291 	Err=0.0992889
t=28.5 	x=0 	x_E=32.8046 	Err=0.102464
t=29 	x=0 	x_E=33.485 	Err=0.105727
t=29.5 	x=0 	x_E=34.1705 	Err=0.109083
t=30 	x=0 	x_E=34.8612 	Err=0.112534
t=30.5 	x=0 	x_E=35.5573 	Err=0.116087
t=31 	x=0 	x_E=36.2588 	Err=0.119743
t=31.5 	x=0 	x_E=36.9659 	Err=0.12351
t=32 	x=0 	x_E=37.6788 	Err=0.12739
t=32.5 	x=0 	x_E=38.3975 	Err=0.131391
t=33 	x=0 	x_E=39.1222 	Err=0.135516
t=33.5 	x=0 	x_E=39.8531 	Err=0.139773
t=34 	x=0 	x_E=40.5903 	Err=0.144168
t=34.5 	x=0 	x_E=41.334 	Err=0.148707
t=35 	x=0 	x_E=42.0844 	Err=0.153397
t=35.5 	x=0 	x_E=42.8416 	Err=0.158247
t=36 	x=0 	x_E=43.6059 	Err=0.163264
t=36.5 	x=0 	x_E=44.3774 	Err=0.168458
t=37 	x=0 	x_E=45.1564 	Err=0.173837
t=37.5 	x=0 	x_E=45.9431 	Err=0.179413
t=38 	x=0 	x_E=46.7376 	Err=0.185196
t=38.5 	x=0 	x_E=47.5403 	Err=0.191198
t=39 	x=0 	x_E=48.3515 	Err=0.197432
t=39.5 	x=0 	x_E=49.1712 	Err=0.203911
t=40 	x=0 	x_E=50 	Err=0.21065
t=40.5 	x=0 	x_E=50.838 	Err=0.217666
t=41 	x=0 	x_E=51.6856 	Err=0.224975
t=41.5 	x=0 	x_E=52.5431 	Err=0.232598
t=42 	x=0 	x_E=53.4109 	Err=0.240555
t=42.5 	x=0 	x_E=54.2893 	Err=0.248868
t=43 	x=0 	x_E=55.1788 	Err=0.257562
t=43.5 	x=0 	x_E=56.0798 	Err=0.266665
t=44 	x=0 	x_E=56.9926 	Err=0.276206
t=44.5 	x=0 	x_E=57.918 	Err=0.286219
t=45 	x=0 	x_E=58.8562 	Err=0.296739
t=45.5 	x=0 	x_E=59.808 	Err=0.307806
