tau=1
t=0 	x=0 	x_E=6.01062e-50 	Err=0
t=1 	x=1.00002 	x_E=1.00002 	Err=4.22262e-12
t=2 	x=2.00017 	x_E=2.00017 	Err=4.22262e-12
t=3 	x=3.00058 	x_E=3.00058 	Err=4.22262e-12
t=4 	x=4.00137 	x_E=4.00137 	Err=4.55902e-12
t=5 	x=5.00267 	x_E=5.00267 	Err=2.69749e-11
t=6 	x=6.00462 	x_E=6.00462 	Err=1.11221e-10
t=7 	x=7.00734 	x_E=7.00734 	Err=1.11221e-10
t=8 	x=8.01097 	x_E=8.01097 	Err=1.11221e-10
t=9 	x=9.01563 	x_E=9.01563 	Err=1.11221e-10
t=10 	x=10.0215 	x_E=10.0215 	Err=1.11221e-10
t=11 	x=11.0286 	x_E=11.0286 	Err=1.11221e-10
t=12 	x=12.0372 	x_E=12.0372 	Err=1.97787e-10
t=13 	x=13.0474 	x_E=13.0474 	Err=4.56787e-10
t=14 	x=14.0593 	x_E=14.0593 	Err=9.72468e-10
t=15 	x=15.0731 	x_E=15.0731 	Err=9.72468e-10
t=16 	x=16.0888 	x_E=16.0888 	Err=9.72468e-10
t=17 	x=17.1068 	x_E=17.1068 	Err=9.72468e-10
t=18 	x=18.1271 	x_E=18.1271 	Err=9.72468e-10
t=19 	x=19.1498 	x_E=19.1498 	Err=9.72468e-10
t=20 	x=20.1752 	x_E=20.1752 	Err=9.72468e-10
t=21 	x=21.2034 	x_E=21.2034 	Err=1.41328e-09
t=22 	x=22.2345 	x_E=22.2345 	Err=2.54041e-09
t=23 	x=23.2688 	x_E=23.2688 	Err=2.54041e-09
t=24 	x=24.3064 	x_E=24.3064 	Err=2.54041e-09
t=25 	x=25.3474 	x_E=25.3474 	Err=2.54041e-09
t=26 	x=26.3922 	x_E=26.3922 	Err=2.54041e-09
t=27 	x=27.4408 	x_E=27.4408 	Err=2.54041e-09
t=28 	x=28.4935 	x_E=28.4935 	Err=2.54041e-09
t=29 	x=29.5505 	x_E=29.5505 	Err=3.37193e-09
t=30 	x=30.612 	x_E=30.612 	Err=5.57008e-09
t=31 	x=31.6782 	x_E=31.6782 	Err=5.57008e-09
t=32 	x=32.7493 	x_E=32.7493 	Err=5.57008e-09
t=33 	x=33.8257 	x_E=33.8257 	Err=5.57008e-09
t=34 	x=34.9074 	x_E=34.9074 	Err=5.57008e-09
t=35 	x=35.9949 	x_E=35.9949 	Err=5.57008e-09
t=36 	x=37.0884 	x_E=37.0884 	Err=5.57008e-09
t=37 	x=38.1881 	x_E=38.1881 	Err=7.46967e-09
t=38 	x=39.2943 	x_E=39.2943 	Err=7.46967e-09
t=39 	x=40.4075 	x_E=40.4075 	Err=7.46967e-09
t=40 	x=41.5278 	x_E=41.5278 	Err=7.46967e-09
t=41 	x=42.6557 	x_E=42.6557 	Err=7.46967e-09
t=42 	x=43.7916 	x_E=43.7916 	Err=7.46967e-09
t=43 	x=44.9357 	x_E=44.9357 	Err=7.46967e-09
t=44 	x=46.0885 	x_E=46.0885 	Err=7.46967e-09
t=45 	x=47.2505 	x_E=47.2505 	Err=7.46967e-09
t=46 	x=48.4221 	x_E=48.4221 	Err=7.46967e-09
t=47 	x=49.6038 	x_E=49.6038 	Err=7.46967e-09
t=48 	x=50.7961 	x_E=50.7961 	Err=1.72817e-08
t=49 	x=51.9996 	x_E=51.9996 	Err=1.72817e-08
t=50 	x=53.2148 	x_E=53.2148 	Err=2.78234e-08
t=51 	x=54.4425 	x_E=54.4425 	Err=2.78234e-08
t=52 	x=55.6833 	x_E=55.6833 	Err=2.79806e-08
t=53 	x=56.9379 	x_E=56.9379 	Err=2.79806e-08
t=54 	x=58.2071 	x_E=58.2071 	Err=2.83694e-08
t=55 	x=59.4919 	x_E=59.4919 	Err=2.83694e-08
t=56 	x=60.7932 	x_E=60.7932 	Err=3.11281e-08
t=57 	x=62.1119 	x_E=62.1119 	Err=4.84592e-08
t=58 	x=63.4493 	x_E=63.4493 	Err=4.84592e-08
t=59 	x=64.8065 	x_E=64.8065 	Err=5.62352e-08
t=60 	x=66.185 	x_E=66.185 	Err=5.62352e-08
t=61 	x=67.5862 	x_E=67.5862 	Err=7.14773e-08
t=62 	x=69.0118 	x_E=69.0118 	Err=7.14773e-08
t=63 	x=70.4637 	x_E=70.4637 	Err=7.14773e-08
t=64 	x=71.9441 	x_E=71.9441 	Err=9.56731e-08
t=65 	x=73.4553 	x_E=73.4553 	Err=1.01484e-07
t=66 	x=75 	x_E=75 	Err=1.14695e-07
t=67 	x=76.5814 	x_E=76.5814 	Err=1.66255e-07
t=68 	x=78.203 	x_E=78.203 	Err=1.93321e-07
t=69 	x=79.8692 	x_E=79.8692 	Err=2.3496e-07
t=70 	x=81.5847 	x_E=81.5847 	Err=2.96266e-07
t=71 	x=83.3556 	x_E=83.3556 	Err=3.86453e-07
t=72 	x=85.1889 	x_E=85.1889 	Err=5.21898e-07
t=73 	x=87.0933 	x_E=87.0933 	Err=6.66825e-07
t=74 	x=89.0799 	x_E=89.0799 	Err=9.20024e-07
t=75 	x=91.1624 	x_E=91.1624 	Err=1.39878e-06
t=76 	x=93.3592 	x_E=93.3592 	Err=2.08762e-06
t=77 	x=95.6951 	x_E=95.6951 	Err=3.41103e-06
t=78 	x=98.2051 	x_E=98.2051 	Err=6.11788e-06
t=79 	x=100.942 	x_E=100.942 	Err=1.22269e-05
