tau=2
t=0 	x=0 	x_E=6.01062e-50 	Err=0
t=2 	x=2 	x_E=2.00017 	Err=0.00017071
t=4 	x=4.00051 	x_E=4.00137 	Err=0.000854602
t=6 	x=6.00256 	x_E=6.00462 	Err=0.00205589
t=8 	x=8.00719 	x_E=8.01097 	Err=0.0037823
t=10 	x=10.0154 	x_E=10.0215 	Err=0.00604515
t=12 	x=12.0283 	x_E=12.0372 	Err=0.0088596
t=14 	x=14.047 	x_E=14.0593 	Err=0.0122449
t=16 	x=16.0726 	x_E=16.0888 	Err=0.0162245
t=18 	x=18.1062 	x_E=18.1271 	Err=0.020827
t=20 	x=20.1491 	x_E=20.1752 	Err=0.0260861
t=22 	x=22.2025 	x_E=22.2345 	Err=0.0320415
t=24 	x=24.2676 	x_E=24.3064 	Err=0.0387397
t=26 	x=26.3459 	x_E=26.3922 	Err=0.0462349
t=28 	x=28.4389 	x_E=28.4935 	Err=0.0545903
t=30 	x=30.5481 	x_E=30.612 	Err=0.0638794
t=32 	x=32.6751 	x_E=32.7493 	Err=0.0741877
t=34 	x=34.8218 	x_E=34.9074 	Err=0.0856152
t=36 	x=36.9901 	x_E=37.0884 	Err=0.0982787
t=38 	x=39.182 	x_E=39.2943 	Err=0.112316
t=40 	x=41.3999 	x_E=41.5278 	Err=0.127889
t=42 	x=43.6464 	x_E=43.7916 	Err=0.14519
t=44 	x=45.9241 	x_E=46.0885 	Err=0.16445
t=46 	x=48.2361 	x_E=48.4221 	Err=0.185945
t=48 	x=50.5861 	x_E=50.7961 	Err=0.21001
t=50 	x=52.9778 	x_E=53.2148 	Err=0.237057
t=52 	x=55.4157 	x_E=55.6833 	Err=0.267591
t=54 	x=57.9049 	x_E=58.2071 	Err=0.302249
t=56 	x=60.4513 	x_E=60.7932 	Err=0.341833
t=58 	x=63.0619 	x_E=63.4493 	Err=0.387379
t=60 	x=65.7447 	x_E=66.185 	Err=0.440241
t=62 	x=68.5096 	x_E=69.0118 	Err=0.502226
t=64 	x=71.3683 	x_E=71.9441 	Err=0.575805
t=66 	x=74.3356 	x_E=75 	Err=0.664448
t=68 	x=77.4298 	x_E=78.203 	Err=0.773192
t=70 	x=80.675 	x_E=81.5847 	Err=0.909659
t=72 	x=84.1029 	x_E=85.1889 	Err=1.08597
t=74 	x=87.7571 	x_E=89.0799 	Err=1.32274
t=76 	x=91.701 	x_E=93.3592 	Err=1.65824
t=78 	x=96.0317 	x_E=98.2051 	Err=2.17339
t=80 	x=100.912 	x_E=103.991 	Err=3.07829
