tau=0.5
t=0 	x=0 	x_E=6.01062e-50 	Err=0
t=0.5 	x=0.500003 	x_E=0.500003 	Err=1.72973e-13
t=1 	x=1.00002 	x_E=1.00002 	Err=4.2244e-12
t=1.5 	x=1.50007 	x_E=1.50007 	Err=4.2244e-12
t=2 	x=2.00017 	x_E=2.00017 	Err=4.2244e-12
t=2.5 	x=2.50033 	x_E=2.50033 	Err=4.2244e-12
t=3 	x=3.00058 	x_E=3.00058 	Err=4.2244e-12
t=3.5 	x=3.50092 	x_E=3.50092 	Err=4.2244e-12
t=4 	x=4.00137 	x_E=4.00137 	Err=5.28377e-12
t=4.5 	x=4.50195 	x_E=4.50195 	Err=1.28297e-11
t=5 	x=5.00267 	x_E=5.00267 	Err=2.84608e-11
t=5.5 	x=5.50356 	x_E=5.50356 	Err=5.86811e-11
t=6 	x=6.00462 	x_E=6.00462 	Err=1.13874e-10
t=6.5 	x=6.50587 	x_E=6.50587 	Err=2.09964e-10
t=7 	x=7.00734 	x_E=7.00734 	Err=2.09964e-10
t=7.5 	x=7.50903 	x_E=7.50903 	Err=2.09964e-10
t=8 	x=8.01097 	x_E=8.01097 	Err=2.09964e-10
t=8.5 	x=8.51316 	x_E=8.51316 	Err=2.09964e-10
t=9 	x=9.01563 	x_E=9.01563 	Err=2.09964e-10
t=9.5 	x=9.5184 	x_E=9.5184 	Err=2.09964e-10
t=10 	x=10.0215 	x_E=10.0215 	Err=2.09964e-10
t=10.5 	x=10.5249 	x_E=10.5249 	Err=2.09964e-10
t=11 	x=11.0286 	x_E=11.0286 	Err=2.09964e-10
t=11.5 	x=11.5327 	x_E=11.5327 	Err=2.09964e-10
t=12 	x=12.0372 	x_E=12.0372 	Err=2.21503e-10
t=12.5 	x=12.5421 	x_E=12.5421 	Err=3.31205e-10
t=13 	x=13.0474 	x_E=13.0474 	Err=4.87416e-10
t=13.5 	x=13.5531 	x_E=13.5531 	Err=7.06873e-10
t=14 	x=14.0593 	x_E=14.0593 	Err=1.01134e-09
t=14.5 	x=14.5659 	x_E=14.5659 	Err=1.01134e-09
t=15 	x=15.0731 	x_E=15.0731 	Err=1.01134e-09
t=15.5 	x=15.5807 	x_E=15.5807 	Err=1.01134e-09
t=16 	x=16.0888 	x_E=16.0888 	Err=1.01134e-09
t=16.5 	x=16.5975 	x_E=16.5975 	Err=1.01134e-09
t=17 	x=17.1068 	x_E=17.1068 	Err=1.01134e-09
t=17.5 	x=17.6166 	x_E=17.6166 	Err=1.01134e-09
t=18 	x=18.1271 	x_E=18.1271 	Err=1.01134e-09
t=18.5 	x=18.6381 	x_E=18.6381 	Err=1.01134e-09
t=19 	x=19.1498 	x_E=19.1498 	Err=1.01134e-09
t=19.5 	x=19.6622 	x_E=19.6622 	Err=1.01134e-09
t=20 	x=20.1752 	x_E=20.1752 	Err=1.01134e-09
t=20.5 	x=20.6889 	x_E=20.6889 	Err=1.17267e-09
t=21 	x=21.2034 	x_E=21.2034 	Err=1.56244e-09
t=21.5 	x=21.7186 	x_E=21.7186 	Err=2.06689e-09
