tau=0.5
t=0 	r=0.1 	x_E=0.1 	Err=0
t=0.5 	r=0.895775 	r_E=0.411285 	Err=0.48449
t=1 	r=0.984611 	r_E=0.572983 	Err=0.48449
t=1.5 	r=1.06543 	r_E=0.698187 	Err=0.48449
t=2 	r=1.14012 	r_E=0.804127 	Err=0.48449
t=2.5 	r=1.20992 	r_E=0.89765 	Err=0.48449
t=3 	r=1.27569 	r_E=0.982308 	Err=0.48449
t=3.5 	r=1.33807 	r_E=1.06023 	Err=0.48449
t=4 	r=1.39754 	r_E=1.1328 	Err=0.48449
t=4.5 	r=1.45448 	r_E=1.201 	Err=0.48449
t=5 	r=1.5092 	r_E=1.26552 	Err=0.48449
t=5.5 	r=1.56192 	r_E=1.32692 	Err=0.48449
t=6 	r=1.61287 	r_E=1.38559 	Err=0.48449
t=6.5 	r=1.66221 	r_E=1.44188 	Err=0.48449
t=7 	r=1.71009 	r_E=1.49605 	Err=0.48449
t=7.5 	r=1.75662 	r_E=1.54833 	Err=0.48449
t=8 	r=1.80192 	r_E=1.5989 	Err=0.48449
t=8.5 	r=1.84608 	r_E=1.64792 	Err=0.48449
t=9 	r=1.88919 	r_E=1.69552 	Err=0.48449
t=9.5 	r=1.93131 	r_E=1.74182 	Err=0.48449
t=10 	r=1.97252 	r_E=1.78692 	Err=0.48449
t=10.5 	r=2.01286 	r_E=1.83092 	Err=0.48449
t=11 	r=2.05239 	r_E=1.87388 	Err=0.48449
t=11.5 	r=2.09117 	r_E=1.91587 	Err=0.48449
t=12 	r=2.12922 	r_E=1.95697 	Err=0.48449
t=12.5 	r=2.1666 	r_E=1.99722 	Err=0.48449
t=13 	r=2.20332 	r_E=2.03667 	Err=0.48449
t=13.5 	r=2.23944 	r_E=2.07538 	Err=0.48449
t=14 	r=2.27498 	r_E=2.11337 	Err=0.48449
t=14.5 	r=2.30996 	r_E=2.1507 	Err=0.48449
t=15 	r=2.34441 	r_E=2.18738 	Err=0.48449
t=15.5 	r=2.37835 	r_E=2.22347 	Err=0.48449
t=16 	r=2.41181 	r_E=2.25897 	Err=0.48449
t=16.5 	r=2.4448 	r_E=2.29393 	Err=0.48449
t=17 	r=2.47735 	r_E=2.32836 	Err=0.48449
t=17.5 	r=2.50947 	r_E=2.36229 	Err=0.48449
t=18 	r=2.54119 	r_E=2.39574 	Err=0.48449
t=18.5 	r=2.5725 	r_E=2.42873 	Err=0.48449
t=19 	r=2.60343 	r_E=2.46128 	Err=0.48449
t=19.5 	r=2.634 	r_E=2.4934 	Err=0.48449
t=20 	r=2.66421 	r_E=2.52511 	Err=0.48449
t=20.5 	r=2.69408 	r_E=2.55643 	Err=0.48449
t=21 	r=2.72362 	r_E=2.58737 	Err=0.48449
t=21.5 	r=2.75284 	r_E=2.61795 	Err=0.48449
t=22 	r=2.78174 	r_E=2.64817 	Err=0.48449
t=22.5 	r=2.81035 	r_E=2.67805 	Err=0.48449
t=23 	r=2.83867 	r_E=2.70761 	Err=0.48449
t=23.5 	r=2.8667 	r_E=2.73684 	Err=0.48449
t=24 	r=2.89446 	r_E=2.76576 	Err=0.48449
t=24.5 	r=2.92195 	r_E=2.79439 	Err=0.48449
t=25 	r=2.94919 	r_E=2.82272 	Err=0.48449
t=25.5 	r=2.97617 	r_E=2.85077 	Err=0.48449
t=26 	r=3.00291 	r_E=2.87855 	Err=0.48449
t=26.5 	r=3.02941 	r_E=2.90606 	Err=0.48449
t=27 	r=3.05568 	r_E=2.93332 	Err=0.48449
t=27.5 	r=3.08172 	r_E=2.96032 	Err=0.48449
t=28 	r=3.10754 	r_E=2.98709 	Err=0.48449
t=28.5 	r=3.13315 	r_E=3.01361 	Err=0.48449
t=29 	r=3.15855 	r_E=3.0399 	Err=0.48449
t=29.5 	r=3.18374 	r_E=3.06597 	Err=0.48449
t=30 	r=3.20874 	r_E=3.09181 	Err=0.48449
t=30.5 	r=3.23354 	r_E=3.11744 	Err=0.48449
t=31 	r=3.25815 	r_E=3.14287 	Err=0.48449
t=31.5 	r=3.28257 	r_E=3.16808 	Err=0.48449
