tau=2
t=0 	r=0.1 	x_E=0.1 	Err=0
t=2 	r=3.2831 	r_E=0.804127 	Err=2.47897
t=4 	r=3.38005 	r_E=1.1328 	Err=2.47897
t=6 	r=3.47423 	r_E=1.38559 	Err=2.47897
t=8 	r=3.56585 	r_E=1.5989 	Err=2.47897
t=10 	r=3.65511 	r_E=1.78692 	Err=2.47897
t=12 	r=3.7422 	r_E=1.95697 	Err=2.47897
t=14 	r=3.82726 	r_E=2.11337 	Err=2.47897
t=16 	r=3.91043 	r_E=2.25897 	Err=2.47897
t=18 	r=3.99183 	r_E=2.39574 	Err=2.47897
t=20 	r=4.07157 	r_E=2.52511 	Err=2.47897
t=22 	r=4.14975 	r_E=2.64817 	Err=2.47897
t=24 	r=4.22645 	r_E=2.76576 	Err=2.47897
t=26 	r=4.30177 	r_E=2.87855 	Err=2.47897
t=28 	r=4.37576 	r_E=2.98709 	Err=2.47897
t=30 	r=4.44851 	r_E=3.09181 	Err=2.47897
t=32 	r=4.52006 	r_E=3.1931 	Err=2.47897
t=34 	r=4.59048 	r_E=3.29128 	Err=2.47897
t=36 	r=4.65982 	r_E=3.38661 	Err=2.47897
t=38 	r=4.72813 	r_E=3.47934 	Err=2.47897
t=40 	r=4.79545 	r_E=3.56965 	Err=2.47897
t=42 	r=4.86183 	r_E=3.65773 	Err=2.47897
t=44 	r=4.9273 	r_E=3.74375 	Err=2.47897
t=46 	r=4.9919 	r_E=3.82783 	Err=2.47897
t=48 	r=5.05567 	r_E=3.9101 	Err=2.47897
t=50 	r=5.11863 	r_E=3.99068 	Err=2.47897
t=52 	r=5.18082 	r_E=4.06966 	Err=2.47897
t=54 	r=5.24226 	r_E=4.14714 	Err=2.47897
t=56 	r=5.30298 	r_E=4.22319 	Err=2.47897
t=58 	r=5.363 	r_E=4.2979 	Err=2.47897
t=60 	r=5.42236 	r_E=4.37134 	Err=2.47897
t=62 	r=5.48106 	r_E=4.44356 	Err=2.47897
t=64 	r=5.53913 	r_E=4.51462 	Err=2.47897
t=66 	r=5.5966 	r_E=4.58459 	Err=2.47897
t=68 	r=5.65347 	r_E=4.6535 	Err=2.47897
t=70 	r=5.70978 	r_E=4.72141 	Err=2.47897
t=72 	r=5.76553 	r_E=4.78835 	Err=2.47897
t=74 	r=5.82073 	r_E=4.85437 	Err=2.47897
t=76 	r=5.87542 	r_E=4.91951 	Err=2.47897
t=78 	r=5.9296 	r_E=4.98379 	Err=2.47897
t=80 	r=5.98328 	r_E=5.04726 	Err=2.47897
t=82 	r=6.03648 	r_E=5.10993 	Err=2.47897
t=84 	r=6.08921 	r_E=5.17185 	Err=2.47897
t=86 	r=6.14148 	r_E=5.23303 	Err=2.47897
t=88 	r=6.19331 	r_E=5.29351 	Err=2.47897
t=90 	r=6.24471 	r_E=5.35331 	Err=2.47897
t=92 	r=6.29568 	r_E=5.41244 	Err=2.47897
t=94 	r=6.34624 	r_E=5.47093 	Err=2.47897
t=96 	r=6.3964 	r_E=5.52881 	Err=2.47897
t=98 	r=6.44616 	r_E=5.58609 	Err=2.47897
t=100 	r=6.49554 	r_E=5.64278 	Err=2.47897
t=102 	r=6.54455 	r_E=5.69891 	Err=2.47897
t=104 	r=6.59318 	r_E=5.7545 	Err=2.47897
t=106 	r=6.64146 	r_E=5.80955 	Err=2.47897
t=108 	r=6.68939 	r_E=5.86408 	Err=2.47897
t=110 	r=6.73698 	r_E=5.91812 	Err=2.47897
t=112 	r=6.78422 	r_E=5.97166 	Err=2.47897
t=114 	r=6.83114 	r_E=6.02473 	Err=2.47897
t=116 	r=6.87774 	r_E=6.07733 	Err=2.47897
t=118 	r=6.92402 	r_E=6.12948 	Err=2.47897
t=120 	r=6.96999 	r_E=6.1812 	Err=2.47897
t=122 	r=7.01566 	r_E=6.23248 	Err=2.47897
t=124 	r=7.06103 	r_E=6.28335 	Err=2.47897
t=126 	r=7.10611 	r_E=6.3338 	Err=2.47897
t=128 	r=7.15091 	r_E=6.38386 	Err=2.47897
t=130 	r=7.19542 	r_E=6.43353 	Err=2.47897
t=132 	r=7.23966 	r_E=6.48282 	Err=2.47897
t=134 	r=7.28362 	r_E=6.53173 	Err=2.47897
t=136 	r=7.32733 	r_E=6.58028 	Err=2.47897
t=138 	r=7.37077 	r_E=6.62848 	Err=2.47897
t=140 	r=7.41395 	r_E=6.67633 	Err=2.47897
t=142 	r=7.45689 	r_E=6.72384 	Err=2.47897
t=144 	r=7.49957 	r_E=6.77101 	Err=2.47897
t=146 	r=7.54202 	r_E=6.81786 	Err=2.47897
t=148 	r=7.58422 	r_E=6.86439 	Err=2.47897
t=150 	r=7.62619 	r_E=6.91061 	Err=2.47897
t=152 	r=7.66793 	r_E=6.95652 	Err=2.47897
t=154 	r=7.70944 	r_E=7.00212 	Err=2.47897
t=156 	r=7.75073 	r_E=7.04744 	Err=2.47897
t=158 	r=7.7918 	r_E=7.09246 	Err=2.47897
t=160 	r=7.83265 	r_E=7.1372 	Err=2.47897
t=162 	r=7.87329 	r_E=7.18166 	Err=2.47897
t=164 	r=7.91372 	r_E=7.22584 	Err=2.47897
t=166 	r=7.95394 	r_E=7.26976 	Err=2.47897
t=168 	r=7.99396 	r_E=7.31342 	Err=2.47897
t=170 	r=8.03378 	r_E=7.35681 	Err=2.47897
t=172 	r=8.0734 	r_E=7.39995 	Err=2.47897
t=174 	r=8.11283 	r_E=7.44284 	Err=2.47897
t=176 	r=8.15206 	r_E=7.48549 	Err=2.47897
t=178 	r=8.19111 	r_E=7.52789 	Err=2.47897
t=180 	r=8.22997 	r_E=7.57006 	Err=2.47897
t=182 	r=8.26865 	r_E=7.61199 	Err=2.47897
t=184 	r=8.30714 	r_E=7.65369 	Err=2.47897
t=186 	r=8.34546 	r_E=7.69517 	Err=2.47897
