tau=0.25
t=0 	x=0.1 	r_E=0.1 	Err=0
t=0.25 	r=0.309882 	r_E=0.299295 	Err=0.0105868
t=0.5 	r=0.419076 	r_E=0.411285 	Err=0.0105868
t=0.75 	r=0.505178 	r_E=0.498731 	Err=0.0105868
t=1 	r=0.578604 	r_E=0.572983 	Err=0.0105868
t=1.25 	r=0.643708 	r_E=0.638661 	Err=0.0105868
t=1.5 	r=0.702807 	r_E=0.698187 	Err=0.0105868
t=1.75 	r=0.757308 	r_E=0.753022 	Err=0.0105868
t=2 	r=0.808142 	r_E=0.804127 	Err=0.0105868
t=2.25 	r=0.855962 	r_E=0.852172 	Err=0.0105868
t=2.5 	r=0.901248 	r_E=0.89765 	Err=0.0105868
t=2.75 	r=0.944365 	r_E=0.940932 	Err=0.0105868
t=3 	r=0.985598 	r_E=0.982308 	Err=0.0105868
t=3.25 	r=1.02517 	r_E=1.02201 	Err=0.0105868
t=3.5 	r=1.06328 	r_E=1.06023 	Err=0.0105868
t=3.75 	r=1.10006 	r_E=1.09712 	Err=0.0105868
t=4 	r=1.13566 	r_E=1.1328 	Err=0.0105868
t=4.25 	r=1.17017 	r_E=1.1674 	Err=0.0105868
t=4.5 	r=1.20369 	r_E=1.201 	Err=0.0105868
t=4.75 	r=1.2363 	r_E=1.23368 	Err=0.0105868
t=5 	r=1.26808 	r_E=1.26552 	Err=0.0105868
t=5.25 	r=1.29908 	r_E=1.29658 	Err=0.0105868
t=5.5 	r=1.32935 	r_E=1.32692 	Err=0.0105868
t=5.75 	r=1.35895 	r_E=1.35657 	Err=0.0105868
t=6 	r=1.38792 	r_E=1.38559 	Err=0.0105868
t=6.25 	r=1.4163 	r_E=1.41401 	Err=0.0105868
t=6.5 	r=1.44412 	r_E=1.44188 	Err=0.0105868
t=6.75 	r=1.47142 	r_E=1.46921 	Err=0.0105868
t=7 	r=1.49821 	r_E=1.49605 	Err=0.0105868
t=7.25 	r=1.52454 	r_E=1.52241 	Err=0.0105868
t=7.5 	r=1.55042 	r_E=1.54833 	Err=0.0105868
t=7.75 	r=1.57587 	r_E=1.57382 	Err=0.0105868
t=8 	r=1.60092 	r_E=1.5989 	Err=0.0105868
t=8.25 	r=1.62559 	r_E=1.62359 	Err=0.0105868
t=8.5 	r=1.64988 	r_E=1.64792 	Err=0.0105868
t=8.75 	r=1.67382 	r_E=1.67189 	Err=0.0105868
t=9 	r=1.69743 	r_E=1.69552 	Err=0.0105868
t=9.25 	r=1.72071 	r_E=1.71883 	Err=0.0105868
t=9.5 	r=1.74368 	r_E=1.74182 	Err=0.0105868
t=9.75 	r=1.76635 	r_E=1.76452 	Err=0.0105868
t=10 	r=1.78873 	r_E=1.78692 	Err=0.0105868
t=10.25 	r=1.81084 	r_E=1.80905 	Err=0.0105868
t=10.5 	r=1.83268 	r_E=1.83092 	Err=0.0105868
t=10.75 	r=1.85427 	r_E=1.85252 	Err=0.0105868
t=11 	r=1.8756 	r_E=1.87388 	Err=0.0105868
t=11.25 	r=1.8967 	r_E=1.89499 	Err=0.0105868
t=11.5 	r=1.91756 	r_E=1.91587 	Err=0.0105868
t=11.75 	r=1.9382 	r_E=1.93653 	Err=0.0105868
t=12 	r=1.95862 	r_E=1.95697 	Err=0.0105868
t=12.25 	r=1.97883 	r_E=1.97719 	Err=0.0105868
t=12.5 	r=1.99884 	r_E=1.99722 	Err=0.0105868
t=12.75 	r=2.01864 	r_E=2.01704 	Err=0.0105868
t=13 	r=2.03826 	r_E=2.03667 	Err=0.0105868
t=13.25 	r=2.05769 	r_E=2.05611 	Err=0.0105868
t=13.5 	r=2.07693 	r_E=2.07538 	Err=0.0105868
t=13.75 	r=2.096 	r_E=2.09446 	Err=0.0105868
t=14 	r=2.1149 	r_E=2.11337 	Err=0.0105868
t=14.25 	r=2.13363 	r_E=2.13212 	Err=0.0105868
t=14.5 	r=2.1522 	r_E=2.1507 	Err=0.0105868
t=14.75 	r=2.17061 	r_E=2.16912 	Err=0.0105868
t=15 	r=2.18886 	r_E=2.18738 	Err=0.0105868
t=15.25 	r=2.20697 	r_E=2.2055 	Err=0.0105868
t=15.5 	r=2.22492 	r_E=2.22347 	Err=0.0105868
t=15.75 	r=2.24273 	r_E=2.24129 	Err=0.0105868
t=16 	r=2.26041 	r_E=2.25897 	Err=0.0105868
t=16.25 	r=2.27794 	r_E=2.27652 	Err=0.0105868
t=16.5 	r=2.29534 	r_E=2.29393 	Err=0.0105868
t=16.75 	r=2.31261 	r_E=2.31121 	Err=0.0105868
t=17 	r=2.32975 	r_E=2.32836 	Err=0.0105868
t=17.25 	r=2.34677 	r_E=2.34539 	Err=0.0105868
t=17.5 	r=2.36366 	r_E=2.36229 	Err=0.0105868
t=17.75 	r=2.38044 	r_E=2.37908 	Err=0.0105868
t=18 	r=2.39709 	r_E=2.39574 	Err=0.0105868
t=18.25 	r=2.41363 	r_E=2.41229 	Err=0.0105868
t=18.5 	r=2.43006 	r_E=2.42873 	Err=0.0105868
t=18.75 	r=2.44638 	r_E=2.44506 	Err=0.0105868
t=19 	r=2.46259 	r_E=2.46128 	Err=0.0105868
t=19.25 	r=2.4787 	r_E=2.47739 	Err=0.0105868
t=19.5 	r=2.4947 	r_E=2.4934 	Err=0.0105868
t=19.75 	r=2.5106 	r_E=2.50931 	Err=0.0105868
t=20 	r=2.52639 	r_E=2.52511 	Err=0.0105868
t=20.25 	r=2.5421 	r_E=2.54082 	Err=0.0105868
t=20.5 	r=2.5577 	r_E=2.55643 	Err=0.0105868
t=20.75 	r=2.57321 	r_E=2.57195 	Err=0.0105868
t=21 	r=2.58863 	r_E=2.58737 	Err=0.0105868
t=21.25 	r=2.60395 	r_E=2.60271 	Err=0.0105868
t=21.5 	r=2.61919 	r_E=2.61795 	Err=0.0105868
t=21.75 	r=2.63433 	r_E=2.6331 	Err=0.0105868
t=22 	r=2.64939 	r_E=2.64817 	Err=0.0105868
t=22.25 	r=2.66437 	r_E=2.66316 	Err=0.0105868
t=22.5 	r=2.67926 	r_E=2.67805 	Err=0.0105868
t=22.75 	r=2.69407 	r_E=2.69287 	Err=0.0105868
t=23 	r=2.7088 	r_E=2.70761 	Err=0.0105868
t=23.25 	r=2.72345 	r_E=2.72226 	Err=0.0105868
t=23.5 	r=2.73802 	r_E=2.73684 	Err=0.0105868
t=23.75 	r=2.75251 	r_E=2.75134 	Err=0.0105868
t=24 	r=2.76693 	r_E=2.76576 	Err=0.0105868
t=24.25 	r=2.78127 	r_E=2.78011 	Err=0.0105868
t=24.5 	r=2.79554 	r_E=2.79439 	Err=0.0105868
t=24.75 	r=2.80974 	r_E=2.80859 	Err=0.0105868
t=25 	r=2.82387 	r_E=2.82272 	Err=0.0105868
t=25.25 	r=2.83792 	r_E=2.83678 	Err=0.0105868
t=25.5 	r=2.85191 	r_E=2.85077 	Err=0.0105868
t=25.75 	r=2.86583 	r_E=2.8647 	Err=0.0105868
t=26 	r=2.87968 	r_E=2.87855 	Err=0.0105868
t=26.25 	r=2.89346 	r_E=2.89234 	Err=0.0105868
t=26.5 	r=2.90718 	r_E=2.90606 	Err=0.0105868
t=26.75 	r=2.92083 	r_E=2.91972 	Err=0.0105868
t=27 	r=2.93442 	r_E=2.93332 	Err=0.0105868
t=27.25 	r=2.94795 	r_E=2.94685 	Err=0.0105868
t=27.5 	r=2.96142 	r_E=2.96032 	Err=0.0105868
t=27.75 	r=2.97482 	r_E=2.97373 	Err=0.0105868
t=28 	r=2.98817 	r_E=2.98709 	Err=0.0105868
t=28.25 	r=3.00145 	r_E=3.00038 	Err=0.0105868
t=28.5 	r=3.01468 	r_E=3.01361 	Err=0.0105868
t=28.75 	r=3.02785 	r_E=3.02678 	Err=0.0105868
t=29 	r=3.04096 	r_E=3.0399 	Err=0.0105868
t=29.25 	r=3.05402 	r_E=3.05296 	Err=0.0105868
t=29.5 	r=3.06702 	r_E=3.06597 	Err=0.0105868
t=29.75 	r=3.07997 	r_E=3.07892 	Err=0.0105868
t=30 	r=3.09286 	r_E=3.09181 	Err=0.0105868
t=30.25 	r=3.1057 	r_E=3.10465 	Err=0.0105868
t=30.5 	r=3.11848 	r_E=3.11744 	Err=0.0105868
t=30.75 	r=3.13121 	r_E=3.13018 	Err=0.0105868
t=31 	r=3.1439 	r_E=3.14287 	Err=0.0105868
t=31.25 	r=3.15653 	r_E=3.1555 	Err=0.0105868
t=31.5 	r=3.16911 	r_E=3.16808 	Err=0.0105868
t=31.75 	r=3.18164 	r_E=3.18062 	Err=0.0105868
t=32 	r=3.19412 	r_E=3.1931 	Err=0.0105868
t=32.25 	r=3.20655 	r_E=3.20554 	Err=0.0105868
