tau=2
t=0 	x=0.1 	r_E=0.1 	Err=0
t=2 	r=1.27041 	r_E=0.804127 	Err=0.46628
t=4 	r=1.50019 	r_E=1.1328 	Err=0.46628
t=6 	r=1.69917 	r_E=1.38559 	Err=0.46628
t=8 	r=1.87718 	r_E=1.5989 	Err=0.46628
t=10 	r=2.03971 	r_E=1.78692 	Err=0.46628
t=12 	r=2.19022 	r_E=1.95697 	Err=0.46628
t=14 	r=2.33102 	r_E=2.11337 	Err=0.46628
t=16 	r=2.4638 	r_E=2.25897 	Err=0.46628
t=18 	r=2.58977 	r_E=2.39574 	Err=0.46628
t=20 	r=2.70989 	r_E=2.52511 	Err=0.46628
t=22 	r=2.82492 	r_E=2.64817 	Err=0.46628
t=24 	r=2.93543 	r_E=2.76576 	Err=0.46628
t=26 	r=3.04194 	r_E=2.87855 	Err=0.46628
t=28 	r=3.14484 	r_E=2.98709 	Err=0.46628
t=30 	r=3.24448 	r_E=3.09181 	Err=0.46628
t=32 	r=3.34114 	r_E=3.1931 	Err=0.46628
t=34 	r=3.43509 	r_E=3.29128 	Err=0.46628
t=36 	r=3.52654 	r_E=3.38661 	Err=0.46628
t=38 	r=3.61568 	r_E=3.47934 	Err=0.46628
t=40 	r=3.70266 	r_E=3.56965 	Err=0.46628
t=42 	r=3.78766 	r_E=3.65773 	Err=0.46628
t=44 	r=3.87078 	r_E=3.74375 	Err=0.46628
t=46 	r=3.95216 	r_E=3.82783 	Err=0.46628
t=48 	r=4.0319 	r_E=3.9101 	Err=0.46628
t=50 	r=4.11009 	r_E=3.99068 	Err=0.46628
t=52 	r=4.18682 	r_E=4.06966 	Err=0.46628
t=54 	r=4.26217 	r_E=4.14714 	Err=0.46628
t=56 	r=4.33621 	r_E=4.22319 	Err=0.46628
t=58 	r=4.409 	r_E=4.2979 	Err=0.46628
t=60 	r=4.48062 	r_E=4.37134 	Err=0.46628
t=62 	r=4.5511 	r_E=4.44356 	Err=0.46628
t=64 	r=4.62052 	r_E=4.51462 	Err=0.46628
t=66 	r=4.6889 	r_E=4.58459 	Err=0.46628
t=68 	r=4.7563 	r_E=4.6535 	Err=0.46628
t=70 	r=4.82276 	r_E=4.72141 	Err=0.46628
t=72 	r=4.88832 	r_E=4.78835 	Err=0.46628
t=74 	r=4.95301 	r_E=4.85437 	Err=0.46628
t=76 	r=5.01686 	r_E=4.91951 	Err=0.46628
t=78 	r=5.07991 	r_E=4.98379 	Err=0.46628
t=80 	r=5.14219 	r_E=5.04726 	Err=0.46628
t=82 	r=5.20372 	r_E=5.10993 	Err=0.46628
t=84 	r=5.26454 	r_E=5.17185 	Err=0.46628
t=86 	r=5.32466 	r_E=5.23303 	Err=0.46628
t=88 	r=5.38411 	r_E=5.29351 	Err=0.46628
t=90 	r=5.44291 	r_E=5.35331 	Err=0.46628
t=92 	r=5.50108 	r_E=5.41244 	Err=0.46628
t=94 	r=5.55864 	r_E=5.47093 	Err=0.46628
t=96 	r=5.61561 	r_E=5.52881 	Err=0.46628
t=98 	r=5.67201 	r_E=5.58609 	Err=0.46628
t=100 	r=5.72785 	r_E=5.64278 	Err=0.46628
t=102 	r=5.78316 	r_E=5.69891 	Err=0.46628
t=104 	r=5.83794 	r_E=5.7545 	Err=0.46628
t=106 	r=5.89221 	r_E=5.80955 	Err=0.46628
t=108 	r=5.94599 	r_E=5.86408 	Err=0.46628
t=110 	r=5.99928 	r_E=5.91812 	Err=0.46628
t=112 	r=6.05211 	r_E=5.97166 	Err=0.46628
t=114 	r=6.10448 	r_E=6.02473 	Err=0.46628
t=116 	r=6.1564 	r_E=6.07733 	Err=0.46628
t=118 	r=6.20789 	r_E=6.12948 	Err=0.46628
t=120 	r=6.25896 	r_E=6.1812 	Err=0.46628
t=122 	r=6.30961 	r_E=6.23248 	Err=0.46628
t=124 	r=6.35986 	r_E=6.28335 	Err=0.46628
t=126 	r=6.40971 	r_E=6.3338 	Err=0.46628
t=128 	r=6.45918 	r_E=6.38386 	Err=0.46628
t=130 	r=6.50827 	r_E=6.43353 	Err=0.46628
t=132 	r=6.557 	r_E=6.48282 	Err=0.46628
t=134 	r=6.60537 	r_E=6.53173 	Err=0.46628
