tau=0.5
t=0 	r=1 	x_E=1 	Err=0
t=0.5 	r=1.07958 	r_E=1.07664 	Err=0.00293689
t=1 	r=1.15329 	r_E=1.14818 	Err=0.00511239
t=1.5 	r=1.22229 	r_E=1.21551 	Err=0.00677949
t=2 	r=1.28739 	r_E=1.2793 	Err=0.00809045
t=2.5 	r=1.34921 	r_E=1.34007 	Err=0.00914246
t=3 	r=1.40819 	r_E=1.39819 	Err=0.0100006
t=3.5 	r=1.4647 	r_E=1.45399 	Err=0.0107099
t=4 	r=1.51903 	r_E=1.50773 	Err=0.0113027
t=4.5 	r=1.57142 	r_E=1.55961 	Err=0.0118028
t=5 	r=1.62206 	r_E=1.60983 	Err=0.012228
t=5.5 	r=1.67112 	r_E=1.65852 	Err=0.0125918
t=6 	r=1.71874 	r_E=1.70583 	Err=0.0129049
t=6.5 	r=1.76504 	r_E=1.75186 	Err=0.0131757
t=7 	r=1.81012 	r_E=1.79671 	Err=0.0134107
t=7.5 	r=1.85408 	r_E=1.84047 	Err=0.0136154
t=8 	r=1.897 	r_E=1.88321 	Err=0.0137942
t=8.5 	r=1.93895 	r_E=1.925 	Err=0.0139507
t=9 	r=1.97999 	r_E=1.96591 	Err=0.0140878
t=9.5 	r=2.02019 	r_E=2.00598 	Err=0.0142082
t=10 	r=2.05958 	r_E=2.04526 	Err=0.0143139
t=10.5 	r=2.09821 	r_E=2.08381 	Err=0.0144067
t=11 	r=2.13614 	r_E=2.12165 	Err=0.0144881
t=11.5 	r=2.17339 	r_E=2.15883 	Err=0.0145595
t=12 	r=2.21001 	r_E=2.19539 	Err=0.014622
t=12.5 	r=2.24602 	r_E=2.23134 	Err=0.0146766
t=13 	r=2.28145 	r_E=2.26672 	Err=0.0147241
t=13.5 	r=2.31633 	r_E=2.30156 	Err=0.0147653
t=14 	r=2.35068 	r_E=2.33588 	Err=0.0148007
t=14.5 	r=2.38453 	r_E=2.3697 	Err=0.0148311
t=15 	r=2.41791 	r_E=2.40305 	Err=0.0148569
t=15.5 	r=2.45082 	r_E=2.43594 	Err=0.0148785
t=16 	r=2.48329 	r_E=2.46839 	Err=0.0148963
t=16.5 	r=2.51533 	r_E=2.50042 	Err=0.0149108
t=17 	r=2.54697 	r_E=2.53205 	Err=0.0149221
t=17.5 	r=2.57821 	r_E=2.56328 	Err=0.0149306
t=18 	r=2.60908 	r_E=2.59414 	Err=0.0149366
t=18.5 	r=2.63958 	r_E=2.62464 	Err=0.0149402
t=19 	r=2.66973 	r_E=2.65479 	Err=0.0149418
t=19.5 	r=2.69953 	r_E=2.68459 	Err=0.0149418
t=20 	r=2.72901 	r_E=2.71407 	Err=0.0149418
t=20.5 	r=2.75817 	r_E=2.74324 	Err=0.0149418
t=21 	r=2.78702 	r_E=2.77209 	Err=0.0149418
t=21.5 	r=2.81558 	r_E=2.80065 	Err=0.0149418
t=22 	r=2.84384 	r_E=2.82893 	Err=0.0149418
t=22.5 	r=2.87182 	r_E=2.85692 	Err=0.0149418
t=23 	r=2.89953 	r_E=2.88464 	Err=0.0149418
t=23.5 	r=2.92698 	r_E=2.91209 	Err=0.0149418
t=24 	r=2.95417 	r_E=2.93929 	Err=0.0149418
t=24.5 	r=2.9811 	r_E=2.96624 	Err=0.0149418
t=25 	r=3.0078 	r_E=2.99295 	Err=0.0149418
t=25.5 	r=3.03425 	r_E=3.01942 	Err=0.0149418
t=26 	r=3.06048 	r_E=3.04566 	Err=0.0149418
t=26.5 	r=3.08648 	r_E=3.07168 	Err=0.0149418
t=27 	r=3.11226 	r_E=3.09748 	Err=0.0149418
t=27.5 	r=3.13783 	r_E=3.12306 	Err=0.0149418
t=28 	r=3.16319 	r_E=3.14844 	Err=0.0149418
t=28.5 	r=3.18835 	r_E=3.17361 	Err=0.0149418
t=29 	r=3.21331 	r_E=3.19859 	Err=0.0149418
t=29.5 	r=3.23807 	r_E=3.22337 	Err=0.0149418
t=30 	r=3.26265 	r_E=3.24797 	Err=0.0149418
t=30.5 	r=3.28704 	r_E=3.27238 	Err=0.0149418
t=31 	r=3.31125 	r_E=3.29661 	Err=0.0149418
t=31.5 	r=3.33528 	r_E=3.32066 	Err=0.0149418
t=32 	r=3.35914 	r_E=3.34454 	Err=0.0149418
t=32.5 	r=3.38283 	r_E=3.36824 	Err=0.0149418
t=33 	r=3.40636 	r_E=3.39179 	Err=0.0149418
t=33.5 	r=3.42972 	r_E=3.41517 	Err=0.0149418
t=34 	r=3.45292 	r_E=3.43839 	Err=0.0149418
t=34.5 	r=3.47597 	r_E=3.46146 	Err=0.0149418
t=35 	r=3.49886 	r_E=3.48437 	Err=0.0149418
t=35.5 	r=3.5216 	r_E=3.50714 	Err=0.0149418
t=36 	r=3.5442 	r_E=3.52975 	Err=0.0149418
t=36.5 	r=3.56665 	r_E=3.55223 	Err=0.0149418
t=37 	r=3.58896 	r_E=3.57456 	Err=0.0149418
t=37.5 	r=3.61114 	r_E=3.59675 	Err=0.0149418
t=38 	r=3.63317 	r_E=3.61881 	Err=0.0149418
t=38.5 	r=3.65508 	r_E=3.64073 	Err=0.0149418
t=39 	r=3.67685 	r_E=3.66252 	Err=0.0149418
t=39.5 	r=3.69849 	r_E=3.68419 	Err=0.0149418
t=40 	r=3.72001 	r_E=3.70572 	Err=0.0149418
t=40.5 	r=3.7414 	r_E=3.72714 	Err=0.0149418
t=41 	r=3.76267 	r_E=3.74843 	Err=0.0149418
t=41.5 	r=3.78382 	r_E=3.7696 	Err=0.0149418
t=42 	r=3.80485 	r_E=3.79065 	Err=0.0149418
t=42.5 	r=3.82576 	r_E=3.81158 	Err=0.0149418
t=43 	r=3.84656 	r_E=3.8324 	Err=0.0149418
t=43.5 	r=3.86725 	r_E=3.85311 	Err=0.0149418
t=44 	r=3.88783 	r_E=3.87371 	Err=0.0149418
t=44.5 	r=3.9083 	r_E=3.8942 	Err=0.0149418
t=45 	r=3.92866 	r_E=3.91458 	Err=0.0149418
t=45.5 	r=3.94892 	r_E=3.93486 	Err=0.0149418
t=46 	r=3.96907 	r_E=3.95503 	Err=0.0149418
t=46.5 	r=3.98912 	r_E=3.9751 	Err=0.0149418
t=47 	r=4.00906 	r_E=3.99507 	Err=0.0149418
t=47.5 	r=4.02891 	r_E=4.01494 	Err=0.0149418
t=48 	r=4.04867 	r_E=4.03471 	Err=0.0149418
t=48.5 	r=4.06832 	r_E=4.05438 	Err=0.0149418
t=49 	r=4.08788 	r_E=4.07396 	Err=0.0149418
t=49.5 	r=4.10735 	r_E=4.09345 	Err=0.0149418
t=50 	r=4.12672 	r_E=4.11285 	Err=0.0149418
t=50.5 	r=4.14601 	r_E=4.13215 	Err=0.0149418
t=51 	r=4.1652 	r_E=4.15136 	Err=0.0149418
t=51.5 	r=4.18431 	r_E=4.17049 	Err=0.0149418
t=52 	r=4.20332 	r_E=4.18952 	Err=0.0149418
t=52.5 	r=4.22226 	r_E=4.20848 	Err=0.0149418
t=53 	r=4.2411 	r_E=4.22734 	Err=0.0149418
