tau=1
t=0 	r=1 	x_E=1 	Err=0
t=1 	r=1.15915 	r_E=1.14818 	Err=0.0109782
t=2 	r=1.29646 	r_E=1.2793 	Err=0.0171531
t=3 	r=1.41922 	r_E=1.39819 	Err=0.0210309
t=4 	r=1.53136 	r_E=1.50773 	Err=0.0236349
t=5 	r=1.63529 	r_E=1.60983 	Err=0.0254629
t=6 	r=1.73262 	r_E=1.70583 	Err=0.026786
t=7 	r=1.82448 	r_E=1.79671 	Err=0.0277644
t=8 	r=1.91171 	r_E=1.88321 	Err=0.0284986
t=9 	r=1.99496 	r_E=1.96591 	Err=0.0290545
t=10 	r=2.07474 	r_E=2.04526 	Err=0.029477
t=11 	r=2.15145 	r_E=2.12165 	Err=0.029798
t=12 	r=2.22543 	r_E=2.19539 	Err=0.0300403
t=13 	r=2.29694 	r_E=2.26672 	Err=0.0302207
t=14 	r=2.36623 	r_E=2.33588 	Err=0.0303519
t=15 	r=2.43349 	r_E=2.40305 	Err=0.0304437
t=16 	r=2.4989 	r_E=2.46839 	Err=0.0305035
t=17 	r=2.56259 	r_E=2.53205 	Err=0.0305372
t=18 	r=2.62469 	r_E=2.59414 	Err=0.0305496
t=19 	r=2.68533 	r_E=2.65479 	Err=0.0305496
t=20 	r=2.7446 	r_E=2.71407 	Err=0.0305496
t=21 	r=2.80259 	r_E=2.77209 	Err=0.0305496
t=22 	r=2.85938 	r_E=2.82893 	Err=0.0305496
t=23 	r=2.91504 	r_E=2.88464 	Err=0.0305496
t=24 	r=2.96963 	r_E=2.93929 	Err=0.0305496
t=25 	r=3.02323 	r_E=2.99295 	Err=0.0305496
t=26 	r=3.07587 	r_E=3.04566 	Err=0.0305496
t=27 	r=3.12762 	r_E=3.09748 	Err=0.0305496
t=28 	r=3.1785 	r_E=3.14844 	Err=0.0305496
t=29 	r=3.22857 	r_E=3.19859 	Err=0.0305496
t=30 	r=3.27787 	r_E=3.24797 	Err=0.0305496
t=31 	r=3.32642 	r_E=3.29661 	Err=0.0305496
t=32 	r=3.37427 	r_E=3.34454 	Err=0.0305496
t=33 	r=3.42144 	r_E=3.39179 	Err=0.0305496
t=34 	r=3.46795 	r_E=3.43839 	Err=0.0305496
t=35 	r=3.51385 	r_E=3.48437 	Err=0.0305496
t=36 	r=3.55914 	r_E=3.52975 	Err=0.0305496
t=37 	r=3.60386 	r_E=3.57456 	Err=0.0305496
t=38 	r=3.64802 	r_E=3.61881 	Err=0.0305496
t=39 	r=3.69165 	r_E=3.66252 	Err=0.0305496
t=40 	r=3.73476 	r_E=3.70572 	Err=0.0305496
t=41 	r=3.77738 	r_E=3.74843 	Err=0.0305496
t=42 	r=3.81951 	r_E=3.79065 	Err=0.0305496
t=43 	r=3.86118 	r_E=3.8324 	Err=0.0305496
t=44 	r=3.9024 	r_E=3.87371 	Err=0.0305496
t=45 	r=3.94318 	r_E=3.91458 	Err=0.0305496
t=46 	r=3.98354 	r_E=3.95503 	Err=0.0305496
t=47 	r=4.0235 	r_E=3.99507 	Err=0.0305496
t=48 	r=4.06305 	r_E=4.03471 	Err=0.0305496
t=49 	r=4.10222 	r_E=4.07396 	Err=0.0305496
t=50 	r=4.14102 	r_E=4.11285 	Err=0.0305496
t=51 	r=4.17945 	r_E=4.15136 	Err=0.0305496
t=52 	r=4.21754 	r_E=4.18952 	Err=0.0305496
t=53 	r=4.25527 	r_E=4.22734 	Err=0.0305496
t=54 	r=4.29267 	r_E=4.26483 	Err=0.0305496
t=55 	r=4.32975 	r_E=4.30198 	Err=0.0305496
t=56 	r=4.36651 	r_E=4.33882 	Err=0.0305496
t=57 	r=4.40296 	r_E=4.37535 	Err=0.0305496
t=58 	r=4.4391 	r_E=4.41157 	Err=0.0305496
t=59 	r=4.47496 	r_E=4.4475 	Err=0.0305496
t=60 	r=4.51052 	r_E=4.48315 	Err=0.0305496
t=61 	r=4.54581 	r_E=4.51851 	Err=0.0305496
t=62 	r=4.58082 	r_E=4.55359 	Err=0.0305496
t=63 	r=4.61556 	r_E=4.58841 	Err=0.0305496
t=64 	r=4.65005 	r_E=4.62297 	Err=0.0305496
t=65 	r=4.68427 	r_E=4.65727 	Err=0.0305496
t=66 	r=4.71825 	r_E=4.69132 	Err=0.0305496
t=67 	r=4.75198 	r_E=4.72512 	Err=0.0305496
t=68 	r=4.78547 	r_E=4.75868 	Err=0.0305496
t=69 	r=4.81873 	r_E=4.79201 	Err=0.0305496
t=70 	r=4.85176 	r_E=4.82511 	Err=0.0305496
t=71 	r=4.88456 	r_E=4.85798 	Err=0.0305496
