tau=0.5
t=0 	x=1 	r_E=1 	Err=0
t=0.5 	r=1.07664 	r_E=1.07664 	Err=5.09621e-08
t=1 	r=1.14818 	r_E=1.14818 	Err=7.49417e-08
t=1.5 	r=1.21551 	r_E=1.21551 	Err=8.64249e-08
t=2 	r=1.2793 	r_E=1.2793 	Err=9.16779e-08
t=2.5 	r=1.34007 	r_E=1.34007 	Err=9.36606e-08
t=3 	r=1.39819 	r_E=1.39819 	Err=9.38689e-08
t=3.5 	r=1.45399 	r_E=1.45399 	Err=9.38689e-08
t=4 	r=1.50773 	r_E=1.50773 	Err=9.38689e-08
t=4.5 	r=1.55961 	r_E=1.55961 	Err=9.38689e-08
t=5 	r=1.60983 	r_E=1.60983 	Err=9.38689e-08
t=5.5 	r=1.65852 	r_E=1.65852 	Err=9.38689e-08
t=6 	r=1.70583 	r_E=1.70583 	Err=9.38689e-08
t=6.5 	r=1.75186 	r_E=1.75186 	Err=9.38689e-08
t=7 	r=1.79671 	r_E=1.79671 	Err=9.38689e-08
t=7.5 	r=1.84047 	r_E=1.84047 	Err=9.38689e-08
t=8 	r=1.88321 	r_E=1.88321 	Err=9.38689e-08
t=8.5 	r=1.925 	r_E=1.925 	Err=9.38689e-08
t=9 	r=1.96591 	r_E=1.96591 	Err=9.38689e-08
t=9.5 	r=2.00598 	r_E=2.00598 	Err=9.38689e-08
t=10 	r=2.04526 	r_E=2.04526 	Err=9.38689e-08
t=10.5 	r=2.08381 	r_E=2.08381 	Err=9.38689e-08
t=11 	r=2.12165 	r_E=2.12165 	Err=9.38689e-08
t=11.5 	r=2.15883 	r_E=2.15883 	Err=9.38689e-08
t=12 	r=2.19539 	r_E=2.19539 	Err=9.38689e-08
t=12.5 	r=2.23134 	r_E=2.23134 	Err=9.38689e-08
t=13 	r=2.26672 	r_E=2.26672 	Err=9.38689e-08
t=13.5 	r=2.30156 	r_E=2.30156 	Err=9.38689e-08
t=14 	r=2.33588 	r_E=2.33588 	Err=9.38689e-08
t=14.5 	r=2.3697 	r_E=2.3697 	Err=9.38689e-08
t=15 	r=2.40305 	r_E=2.40305 	Err=9.38689e-08
