tau=1
t=0 	x=1 	r_E=1 	Err=0
t=1 	r=1.14818 	r_E=1.14818 	Err=1.27848e-06
t=2 	r=1.27931 	r_E=1.2793 	Err=1.561e-06
t=3 	r=1.39819 	r_E=1.39819 	Err=1.5963e-06
t=4 	r=1.50773 	r_E=1.50773 	Err=1.5963e-06
t=5 	r=1.60983 	r_E=1.60983 	Err=1.5963e-06
t=6 	r=1.70583 	r_E=1.70583 	Err=1.5963e-06
t=7 	r=1.79671 	r_E=1.79671 	Err=1.5963e-06
t=8 	r=1.88321 	r_E=1.88321 	Err=1.5963e-06
t=9 	r=1.96591 	r_E=1.96591 	Err=1.5963e-06
t=10 	r=2.04526 	r_E=2.04526 	Err=1.5963e-06
t=11 	r=2.12165 	r_E=2.12165 	Err=1.5963e-06
t=12 	r=2.19539 	r_E=2.19539 	Err=1.5963e-06
t=13 	r=2.26672 	r_E=2.26672 	Err=1.5963e-06
t=14 	r=2.33588 	r_E=2.33588 	Err=1.5963e-06
t=15 	r=2.40305 	r_E=2.40305 	Err=1.5963e-06
t=16 	r=2.46839 	r_E=2.46839 	Err=1.5963e-06
t=17 	r=2.53205 	r_E=2.53205 	Err=1.5963e-06
t=18 	r=2.59414 	r_E=2.59414 	Err=1.5963e-06
t=19 	r=2.65479 	r_E=2.65479 	Err=1.5963e-06
t=20 	r=2.71407 	r_E=2.71407 	Err=1.5963e-06
t=21 	r=2.7721 	r_E=2.77209 	Err=1.5963e-06
t=22 	r=2.82893 	r_E=2.82893 	Err=1.5963e-06
t=23 	r=2.88464 	r_E=2.88464 	Err=1.5963e-06
t=24 	r=2.93929 	r_E=2.93929 	Err=1.5963e-06
t=25 	r=2.99295 	r_E=2.99295 	Err=1.5963e-06
t=26 	r=3.04566 	r_E=3.04566 	Err=1.5963e-06
t=27 	r=3.09748 	r_E=3.09748 	Err=1.5963e-06
t=28 	r=3.14844 	r_E=3.14844 	Err=1.5963e-06
t=29 	r=3.19859 	r_E=3.19859 	Err=1.5963e-06
t=30 	r=3.24797 	r_E=3.24797 	Err=1.5963e-06
t=31 	r=3.29661 	r_E=3.29661 	Err=1.5963e-06
t=32 	r=3.34454 	r_E=3.34454 	Err=1.5963e-06
t=33 	r=3.39179 	r_E=3.39179 	Err=1.5963e-06
t=34 	r=3.43839 	r_E=3.43839 	Err=1.5963e-06
t=35 	r=3.48437 	r_E=3.48437 	Err=1.5963e-06
t=36 	r=3.52975 	r_E=3.52975 	Err=1.5963e-06
t=37 	r=3.57456 	r_E=3.57456 	Err=1.5963e-06
t=38 	r=3.61881 	r_E=3.61881 	Err=1.5963e-06
t=39 	r=3.66253 	r_E=3.66252 	Err=1.5963e-06
t=40 	r=3.70573 	r_E=3.70572 	Err=1.5963e-06
t=41 	r=3.74843 	r_E=3.74843 	Err=1.5963e-06
t=42 	r=3.79065 	r_E=3.79065 	Err=1.5963e-06
t=43 	r=3.83241 	r_E=3.8324 	Err=1.5963e-06
t=44 	r=3.87371 	r_E=3.87371 	Err=1.5963e-06
t=45 	r=3.91458 	r_E=3.91458 	Err=1.5963e-06
t=46 	r=3.95503 	r_E=3.95503 	Err=1.5963e-06
t=47 	r=3.99507 	r_E=3.99507 	Err=1.5963e-06
t=48 	r=4.03471 	r_E=4.03471 	Err=1.5963e-06
t=49 	r=4.07396 	r_E=4.07396 	Err=1.5963e-06
t=50 	r=4.11285 	r_E=4.11285 	Err=1.5963e-06
t=51 	r=4.15136 	r_E=4.15136 	Err=1.5963e-06
t=52 	r=4.18952 	r_E=4.18952 	Err=1.5963e-06
t=53 	r=4.22734 	r_E=4.22734 	Err=1.5963e-06
t=54 	r=4.26483 	r_E=4.26483 	Err=1.5963e-06
t=55 	r=4.30198 	r_E=4.30198 	Err=1.5963e-06
t=56 	r=4.33882 	r_E=4.33882 	Err=1.5963e-06
t=57 	r=4.37535 	r_E=4.37535 	Err=1.5963e-06
t=58 	r=4.41157 	r_E=4.41157 	Err=1.5963e-06
t=59 	r=4.4475 	r_E=4.4475 	Err=1.5963e-06
t=60 	r=4.48315 	r_E=4.48315 	Err=1.5963e-06
t=61 	r=4.51851 	r_E=4.51851 	Err=1.5963e-06
t=62 	r=4.55359 	r_E=4.55359 	Err=1.5963e-06
t=63 	r=4.58841 	r_E=4.58841 	Err=1.5963e-06
t=64 	r=4.62297 	r_E=4.62297 	Err=1.5963e-06
t=65 	r=4.65727 	r_E=4.65727 	Err=1.5963e-06
t=66 	r=4.69132 	r_E=4.69132 	Err=1.5963e-06
t=67 	r=4.72512 	r_E=4.72512 	Err=1.5963e-06
t=68 	r=4.75868 	r_E=4.75868 	Err=1.5963e-06
t=69 	r=4.79201 	r_E=4.79201 	Err=1.5963e-06
t=70 	r=4.82511 	r_E=4.82511 	Err=1.5963e-06
t=71 	r=4.85798 	r_E=4.85798 	Err=1.5963e-06
t=72 	r=4.89064 	r_E=4.89064 	Err=1.5963e-06
t=73 	r=4.92307 	r_E=4.92307 	Err=1.5963e-06
t=74 	r=4.95529 	r_E=4.95529 	Err=1.5963e-06
t=75 	r=4.98731 	r_E=4.98731 	Err=1.5963e-06
t=76 	r=5.01912 	r_E=5.01912 	Err=1.5963e-06
t=77 	r=5.05073 	r_E=5.05073 	Err=1.5963e-06
t=78 	r=5.08214 	r_E=5.08214 	Err=1.5963e-06
t=79 	r=5.11336 	r_E=5.11336 	Err=1.5963e-06
t=80 	r=5.14439 	r_E=5.14439 	Err=1.5963e-06
t=81 	r=5.17524 	r_E=5.17524 	Err=1.5963e-06
t=82 	r=5.2059 	r_E=5.2059 	Err=1.5963e-06
t=83 	r=5.23638 	r_E=5.23638 	Err=1.5963e-06
t=84 	r=5.26669 	r_E=5.26669 	Err=1.5963e-06
t=85 	r=5.29682 	r_E=5.29682 	Err=1.5963e-06
t=86 	r=5.32679 	r_E=5.32679 	Err=1.5963e-06
t=87 	r=5.35658 	r_E=5.35658 	Err=1.5963e-06
t=88 	r=5.38621 	r_E=5.38621 	Err=1.5963e-06
t=89 	r=5.41568 	r_E=5.41568 	Err=1.5963e-06
t=90 	r=5.44499 	r_E=5.44499 	Err=1.5963e-06
t=91 	r=5.47414 	r_E=5.47414 	Err=1.5963e-06
t=92 	r=5.50314 	r_E=5.50314 	Err=1.5963e-06
t=93 	r=5.53198 	r_E=5.53198 	Err=1.5963e-06
t=94 	r=5.56068 	r_E=5.56068 	Err=1.5963e-06
t=95 	r=5.58923 	r_E=5.58923 	Err=1.5963e-06
t=96 	r=5.61763 	r_E=5.61763 	Err=1.5963e-06
t=97 	r=5.64589 	r_E=5.64589 	Err=1.5963e-06
t=98 	r=5.67401 	r_E=5.67401 	Err=1.5963e-06
t=99 	r=5.70199 	r_E=5.70199 	Err=1.5963e-06
t=100 	r=5.72983 	r_E=5.72983 	Err=1.5963e-06
